date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-03-01 00:00:00,2.4,-2.8,8.9,,,,10.2,,1020.5,
2020-03-02 00:00:00,9.1,3.9,14.4,,,,10.4,,1015,
2020-03-03 00:00:00,10.9,8.9,13.3,,,,9.5,,,
2020-03-04 00:00:00,10.2,7.2,13.9,,,,19.5,,1007.3,
2020-03-05 00:00:00,7.6,4.4,12.2,,,,7.9,,1018.8,
2020-03-06 00:00:00,5.5,3.9,7.8,,,,13.1,,1012.8,
2020-03-07 00:00:00,5.9,3.3,11.1,,,,7.8,,1021.9,
2020-03-08 00:00:00,8,2.2,15,,,,13.6,,1030,
2020-03-09 00:00:00,13.4,6.7,21.7,,,,15.1,,1027.1,
2020-03-10 00:00:00,14.5,11.1,17.2,,,,17.5,,1018.5,
2020-03-11 00:00:00,10.8,7,14.4,,,,,,,
2020-03-12 00:00:00,8.2,6.7,8.9,,,,11.1,,1020.7,
2020-03-13 00:00:00,13,8.9,20.6,,,,,,,
2020-03-14 00:00:00,10.1,7,15,,,,,,,
2020-03-15 00:00:00,9.1,6.7,13.9,,,,8.7,,1030.5,
2020-03-16 00:00:00,5.2,1.7,7.8,,,,17.9,,1034.6,
2020-03-17 00:00:00,8.3,5.6,11.7,,,,10.4,,1023.2,
2020-03-18 00:00:00,8.8,6.1,12.2,,,,8.3,,1030.6,
2020-03-19 00:00:00,8.3,6.1,10.6,,,,14.3,,1024.8,
2020-03-20 00:00:00,13.6,8.3,22.8,,,,9.4,,1014.8,
2020-03-21 00:00:00,10.6,6.7,18.9,,,,10.2,,1024.1,
2020-03-22 00:00:00,5,2.2,8.3,,,,19.6,,1036.7,
2020-03-23 00:00:00,4.3,3.9,5.6,,,,21.4,,1026.9,
2020-03-24 00:00:00,8.1,3.3,14.4,,,,8.8,,1019.5,
2020-03-25 00:00:00,6.5,5.6,7.2,,,,21.1,,1018.6,
2020-03-26 00:00:00,8.7,4.4,15.6,,,,9.6,,1015.8,
2020-03-27 00:00:00,14.2,10,21.1,,,,6.9,,1011.2,
2020-03-28 00:00:00,9.5,7.8,12.8,,,,18.7,,1018.9,
2020-03-29 00:00:00,7.9,7.2,8.3,,,,25.2,,1014.1,
2020-03-30 00:00:00,8.4,6.7,10,,,,9.8,,1014.1,
2020-03-31 00:00:00,6.7,5.6,7.8,,,,11.7,,1016.2,
